Provincia;Cantón;2019;2020;2021;2022;2023;2024;2025
MANABÍ;Rocafuerte;42021;42779;43327;43931;44594;45295;46005
MANABÍ;Santa Ana;53248;53469;53428;53463;53579;53749;53941
MANABÍ;Sucre;65973;66503;66705;66997;67383;67831;68301
MANABÍ;Tosagua;43713;44046;44164;44339;44579;44859;45153
MANABÍ;24 De Mayo;32519;32653;32626;32647;32716;32819;32936
MANABÍ;Pedernales;72608;74176;75372;76651;78017;79428;80838
MANABÍ;Olmedo;10721;10710;10650;10607;10585;10579;10582
MANABÍ;Puerto López;25704;26225;26617;27040;27496;27971;28448
MANABÍ;Jama;20471;19855;19184;18598;18105;17697;17363
MANABÍ;Jaramijó;27661;28762;29674;30558;31413;32223;32971
MANABÍ;San Vicente;25380;25631;25755;25915;26112;26333;26563
MORONA SANTIAGO;Morona;53405;54516;55562;56624;57720;58843;59992
MORONA SANTIAGO;Gualaquiza;21521;21863;22177;22493;22820;23155;23497
MORONA SANTIAGO;Limón Indanza;10473;10405;10327;10256;10196;10150;10118
MORONA SANTIAGO;Palora;10623;11072;11498;11915;12323;12718;13100
MORONA SANTIAGO;Santiago;10015;10004;9984;9971;9970;9980;10001
MORONA SANTIAGO;Sucúa;23033;23367;23668;23972;24287;24610;24940
MORONA SANTIAGO;Huamboya;10806;11006;11194;11384;11580;11781;11987
MORONA SANTIAGO;San Juan Bosco;4428;4445;4458;4474;4495;4520;4550
MORONA SANTIAGO;Taisha;26163;26948;27701;28457;29225;29997;30773
MORONA SANTIAGO;Logroño;7400;7510;7609;7711;7814;7922;8030
MORONA SANTIAGO;Pablo Sexto;2193;2232;2268;2303;2341;2380;2419
MORONA SANTIAGO;Tiwintza;9342;9532;9711;9893;10080;10271;10468
NAPO;Tena;78249;79742;81081;82422;83809;85237;86688
NAPO;Archidona;30701;31073;31380;31684;32002;32331;32667
NAPO;El Chaco;9144;9230;9296;9362;9432;9508;9585
NAPO;Quijos;6563;6584;6594;6605;6622;6645;6673
NAPO;Carlos Julio Arosemena Tola;4508;4577;4636;4695;4757;4820;4885
PASTAZA;Pastaza;79963;81648;83353;84976;86522;87977;89381
PASTAZA;Mera;14476;14748;15020;15278;15520;15745;15960
PASTAZA;Santa Clara;4428;4487;4548;4602;4653;4699;4743
PASTAZA;Arajuno;9312;9579;9850;10113;10367;10611;10848
PICHINCHA;Distrito Metropolitano De Quito;2752623;2782399;2792784;2804269;2820059;2838174;2856667
PICHINCHA;Cayambe;108378;109689;110238;110830;111595;112454;113328
PICHINCHA;Mejía;102197;103703;104488;105317;106307;107385;108478
PICHINCHA;Pedro Moncayo;41200;41795;42102;42425;42814;43238;43669
PICHINCHA;Rumiñahui;108424;109916;110646;111420;112367;113409;114467
PICHINCHA;San Miguel De Los Bancos;15701;15354;14964;14647;14411;14241;14120
PICHINCHA;Pedro Vicente Maldonado;16054;16222;16276;16336;16421;16520;16620
PICHINCHA;Puerto Quito;25487;25875;26084;26303;26563;26844;27129
TUNGURAHUA;Ambato;372363;374554;375881;377384;379234;381116;383053
TUNGURAHUA;Baños De Agua Santa;22162;22297;22379;22474;22587;22705;22824
TUNGURAHUA;Cevallos;10187;10348;10484;10621;10765;10906;11044
TUNGURAHUA;Mocha;7359;7376;7377;7382;7393;7404;7418
TUNGURAHUA;Patate;14165;14164;14129;14101;14088;14078;14070
TUNGURAHUA;Quero;19779;19719;19617;19529;19463;19404;19354
TUNGURAHUA;San Pedro De Pelileo;63879;64323;64619;64946;65333;65726;66129
TUNGURAHUA;Santiago De Píllaro;43110;43248;43286;43343;43441;43541;43647
TUNGURAHUA;Tisaleo;13733;13843;13921;14006;14103;14202;14303
ZAMORA CHINCHIPE;Zamora;30405;30726;30967;31217;31488;31769;32050
ZAMORA CHINCHIPE;Chinchipe;10488;10582;10647;10716;10793;10871;10952
ZAMORA CHINCHIPE;Nangaritza;6622;6730;6822;6916;7015;7118;7220
ZAMORA CHINCHIPE;Yacuambi;6529;6548;6549;6555;6568;6584;6603
ZAMORA CHINCHIPE;Yantzaza;23448;23753;23999;24252;24523;24801;25082
ZAMORA CHINCHIPE;El Pangui;12299;12687;13034;13377;13717;14048;14366
ZAMORA CHINCHIPE;Centinela Del Cóndor;7718;7819;7901;7985;8074;8167;8260
ZAMORA CHINCHIPE;Palanda;8959;8999;9015;9036;9066;9098;9134
ZAMORA CHINCHIPE;Paquisha;4832;4911;4978;5047;5119;5194;5269
GALÁPAGOS;San Cristóbal;8501;8571;8640;8711;8791;8850;8883
GALÁPAGOS;Isabela;2885;2950;3014;3079;3146;3205;3253
GALÁPAGOS;Santa Cruz;17144;17321;17494;17673;17871;18027;18129
SUCUMBÍOS;Lago Agrio;109651;110126;110082;109746;109211;108536;107841
SUCUMBÍOS;Gonzalo Pizarro;10580;10662;10692;10695;10677;10645;10610
SUCUMBÍOS;Putumayo;9732;9606;9459;9309;9164;9026;8901
SUCUMBÍOS;Shushufindi;52482;52906;53081;53113;53044;52902;52747
SUCUMBÍOS;Sucumbíos;3382;3344;3297;3249;3200;3154;3111
SUCUMBÍOS;Cascales;12169;12180;12138;12070;11986;11889;11796
SUCUMBÍOS;Cuyabeno;8760;8891;8979;9039;9078;9101;9115
ORELLANA;Francisco De Orellana;92005;93774;95471;97104;98683;100185;101643
ORELLANA;Aguarico;6625;6792;6955;7114;7271;7423;7574
ORELLANA;La Joya De Los Sachas;49332;50572;51784;52970;54137;55268;56383
ORELLANA;Loreto;27376;27929;28463;28978;29477;29955;30420
SANTO DOMINGO DE LOS TSÁCHILAS;Santo Domingo;445672;450285;454126;458208;462496;466841;471217
SANTO DOMINGO DE LOS TSÁCHILAS;La Concordia;53746;54377;54915;55484;56080;56683;57292
SANTA ELENA;Santa Elena;185459;188608;191115;192798;194079;195847;198016
SANTA ELENA;La Libertad;115550;116753;117544;117819;117850;118177;118743
SANTA ELENA;Salinas;85946;87149;88050;88568;88900;89454;90188
